pm,party,from,to,color,abb,govt_name
Viceroy,British Raj,1860-02-15,1947-08-14,#fb9a99,GB,1860-02-15 / 1947-08-14: Viceroy (British Raj)
Jawaharlal Nehru,Indian National Congress,1947-08-15,1952-04-14,#a6cee3,INC,1947-08-15 / 1952-04-14: Jawaharlal Nehru (Indian National Congress)
Jawaharlal Nehru,Indian National Congress,1952-04-15,1957-04-16,#a6cee3,INC,1952-04-15 / 1957-04-16: Jawaharlal Nehru (Indian National Congress)
Jawaharlal Nehru,Indian National Congress,1957-04-17,1962-04-01,#a6cee3,INC,1957-04-17 / 1962-04-01: Jawaharlal Nehru (Indian National Congress)
Jawaharlal Nehru,Indian National Congress,1962-04-02,1964-05-26,#a6cee3,INC,1962-04-02 / 1964-05-26: Jawaharlal Nehru (Indian National Congress)
Gulzarilal Nanda,Indian National Congress,1964-05-27,1964-06-08,#a6cee3,INC,1964-05-27 / 1964-06-08: Gulzarilal Nanda (Indian National Congress)
Lal Bahadur Shastri,Indian National Congress,1964-06-09,1966-01-10,#a6cee3,INC,1964-06-09 / 1966-01-10: Lal Bahadur Shastri (Indian National Congress)
Gulzarilal Nanda,Indian National Congress,1966-01-11,1966-01-23,#a6cee3,INC,1966-01-11 / 1966-01-23: Gulzarilal Nanda (Indian National Congress)
Indira Gandhi,Indian National Congress,1966-01-24,1967-03-03,#a6cee3,INC,1966-01-24 / 1967-03-03: Indira Gandhi (Indian National Congress)
Indira Gandhi,Indian National Congress,1967-03-04,1971-03-14,#a6cee3,INC,1967-03-04 / 1971-03-14: Indira Gandhi (Indian National Congress)
Indira Gandhi,Indian National Congress,1971-03-15,1977-03-23,#a6cee3,INC,1971-03-15 / 1977-03-23: Indira Gandhi (Indian National Congress)
Morarji Desai,Janata Party,1977-03-24,1979-07-27,#1f78b4,JP,1977-03-24 / 1979-07-27: Morarji Desai (Janata Party)
Charan Singh,Janata Party (Secular) with INC,1979-07-28,1980-01-13,#CAB2D6,JP (S),1979-07-28 / 1980-01-13: Charan Singh (Janata Party (Secular) with INC)
Indira Gandhi,Indian National Congress (I),1980-01-14,1984-10-30,#a6cee3,INC (I),1980-01-14 / 1984-10-30: Indira Gandhi (Indian National Congress (I))
Rajiv Gandhi,Indian National Congress (I),1984-10-31,1984-12-30,#a6cee3,INC (I),1984-10-31 / 1984-12-30: Rajiv Gandhi (Indian National Congress (I))
Rajiv Gandhi,Indian National Congress (I),1984-12-31,1989-12-01,#a6cee3,INC (I),1984-12-31 / 1989-12-01: Rajiv Gandhi (Indian National Congress (I))
Vishwanath Pratap Singh,Janata Dal (National Front),1989-12-02,1990-11-09,#33a02c,JD,1989-12-02 / 1990-11-09: Vishwanath Pratap Singh (Janata Dal (National Front))
Chandra Shekhar,Samajwadi Janata Party with INC,1990-11-10,1991-06-20,#b2df8a,SJP (R),1990-11-10 / 1991-06-20: Chandra Shekhar (Samajwadi Janata Party with INC)
P. V. Narasimha Rao,Indian National Congress (I),1991-06-21,1996-05-15,#a6cee3,INC (I),1991-06-21 / 1996-05-15: P. V. Narasimha Rao (Indian National Congress (I))
Atal Bihari Vajpayee,Bharatiya Janata Party,1996-05-16,1996-05-31,#FF9933,BJP,1996-05-16 / 1996-05-31: Atal Bihari Vajpayee (Bharatiya Janata Party)
H. D. Deve Gowda,Janata Dal (United Front),1996-06-01,1997-04-20,#33a02c,JD,1996-06-01 / 1997-04-20: H. D. Deve Gowda (Janata Dal (United Front))
Inder Kumar Gujral,Janata Dal (United Front),1997-04-21,1998-03-18,#33a02c,JD,1997-04-21 / 1998-03-18: Inder Kumar Gujral (Janata Dal (United Front))
Atal Bihari Vajpayee,Bharatiya Janata Party (NDA),1998-03-19,1999-10-09,#FF9933,BJP,1998-03-19 / 1999-10-09: Atal Bihari Vajpayee (Bharatiya Janata Party (NDA))
Atal Bihari Vajpayee,Bharatiya Janata Party (NDA),1999-10-10,2004-05-21,#FF9933,BJP,1999-10-10 / 2004-05-21: Atal Bihari Vajpayee (Bharatiya Janata Party (NDA))
Manmohan Singh,Indian National Congress (UPA),2004-05-22,2009-05-21,#a6cee3,INC,2004-05-22 / 2009-05-21: Manmohan Singh (Indian National Congress (UPA))
Manmohan Singh,Indian National Congress (UPA),2009-05-22,2014-05-25,#a6cee3,INC,2009-05-22 / 2014-05-25: Manmohan Singh (Indian National Congress (UPA))
Narendra Modi,Bharatiya Janata Party (NDA),2014-05-26,2019-05-29,#FF9933,BJP,2014-05-26 / 2019-05-29: Narendra Modi (Bharatiya Janata Party (NDA))
Narendra Modi,Bharatiya Janata Party (NDA),2019-05-30,2020-12-30,#FF9933,BJP,2019-05-30 / 2020-12-30: Narendra Modi (Bharatiya Janata Party (NDA))
